category,id,label,widthFt,lengthFt,canvasWidthPx,canvasHeightPx,canvasImage
Garage Equipment,garage-refrigerator,Garage Refrigerator,3,6,30,60,assets/images/items/canvas/garage-refrigerator-top.png
Garage Equipment,garage-door,Garage Door,7,16,70,160,assets/images/items/canvas/garage-door-top.png
Furniture & Living,sofa,Couch,3,8,30,80,assets/images/items/canvas/sofa-top.png
Furniture & Living,l-shaped-sofa,L-Shaped Sofa,6,9,60,90,assets/images/items/canvas/l-shaped-sofa-top.png
Furniture & Living,dining-table,Dining Table,4,6,40,60,assets/images/items/canvas/dinning-table-top.png
Furniture & Living,coffee-table,Coffee Table,4,2.5,40,25,assets/images/items/canvas/coffee-table-top.png
Furniture & Living,coffee-table-circular,Coffee Table (Round),3,3,30,30,assets/images/items/canvas/coffee-table-circular-top.png
Furniture & Living,massage-chair,Massage Chair,3,5,30,50,assets/images/items/canvas/massage-chair-top.png
Furniture & Living,aeron-chair,Office Chair,2.5,3,25,30,assets/images/items/canvas/aeron-chair-top.png
Furniture & Living,gaming-chair,Gaming Chair,2.5,3.5,25,35,assets/images/items/canvas/gaming-chair-top.png
Furniture & Living,tv-stand,TV Stand,1.5,5,15,50,assets/images/items/canvas/tv-stand-top.png
Furniture & Living,tv,TV (Flat Screen),3,5,30,50,assets/images/items/canvas/tv-top.png
Furniture & Living,double-door-fridge,Refrigerator,3,6,30,60,assets/images/items/canvas/double-door-fridge-top.png
Furniture & Living,mini-refrigerator,Mini Fridge,2.5,3,25,30,assets/images/items/canvas/mini-refrigerator-top.png
Furniture & Living,water-cooler,Water Cooler,1.5,4,15,40,assets/images/items/canvas/water-cooler-top.png
Furniture & Living,washing-machine,Washing Machine,2.5,3,25,30,assets/images/items/canvas/washing-machine-top.png
Furniture & Living,carpet-circular,Carpet (Round),6,6,60,60,assets/images/items/canvas/carpet-circular-top.png
Furniture & Living,rug-rectangular,Rug,5,8,50,80,assets/images/items/canvas/rug-rectangular-top.png
Fitness & Sports,treadmill,Treadmill,3,6,30,60,assets/images/items/canvas/treadmill-top.png
Fitness & Sports,exercise-bike,Exercise Bike,2,4,20,40,assets/images/items/canvas/exercise-bike-top.png
Fitness & Sports,bicycle-gym-equipment,Stationary Bike,2,5,20,50,assets/images/items/canvas/bicycle-gym-equipment-top.png
Fitness & Sports,bench-press,Bench Press,4,5,40,50,assets/images/items/canvas/bench-press-top.png
Fitness & Sports,dumbbell-rack,Dumbbell Rack,2,5,20,50,assets/images/items/canvas/dumbbell-rack-top.png
Fitness & Sports,climb-gym,Climbing Gym,3,7,30,70,assets/images/items/canvas/climb-gym-top.png
Fitness & Sports,punching-bag-hanging,Punching Bag,1.5,4,15,40,assets/images/items/canvas/punching-bag-hanging-top.png
Fitness & Sports,table-tennis,Table Tennis,5,9,50,90,assets/images/items/canvas/table-tennis-top.png
Fitness & Sports,fosball,Foosball Table,3,5,30,50,assets/images/items/canvas/foosball-top.png
Fitness & Sports,inflatable-swimming-ring,Pool Float,4,4,40,40,assets/images/items/canvas/inflatable-swimmin...g-top.png
Storage & Organization,shelf,Storage Shelf,2,4,20,40,assets/images/items/canvas/shelf-top.png
Storage & Organization,shelf-boxes,Shelf with Boxes,3,4,30,40,assets/images/items/canvas/shelf-boxes-top.png
Storage & Organization,scaffold-rack,Scaffold Rack,1.5,8,15,80,assets/images/items/canvas/scaffold-top.png
Storage & Organization,workbench,Workbench,2.5,6,25,60,assets/images/items/canvas/workbench-top.png
Storage & Organization,storage-box,Storage Box,3,3,30,30,assets/images/items/canvas/storage-box-top.png
Storage & Organization,box,Cardboard Box,2.5,2.5,25,25,assets/images/items/canvas/box-top.png
Storage & Organization,small-tool-box,Tool Box,1.5,3,15,30,assets/images/items/canvas/small-tool-box-top.png
Storage & Organization,tool-cabinet,Tool Cabinet,2,5,20,50,assets/images/items/canvas/tool-cabinet-top.png
Storage & Organization,bike-rack,Bike Rack,2,6,20,60,assets/images/items/canvas/bike-rack-top.png
Storage & Organization,kayak,Kayak,2.8,12,28,120,assets/images/items/canvas/kayak-top.png
Storage & Organization,freezer,Chest Freezer,2.5,5,25,50,assets/images/items/canvas/freezer-top.png
Storage & Organization,floor-lamp,Floor Lamp,1,6,10,60,assets/images/items/canvas/floor-lamp-top.png
Storage & Organization,electric-car-charging,EV Charger,1.5,5,15,50,assets/images/items/canvas/electric-car-charging-top.png
Storage & Organization,hot-dog-cart,Hot Dog Cart,3,6,30,60,assets/images/items/canvas/hot-dog-cart-top.png
Storage & Organization,garage-bar-counter,Bar Counter,2.5,6,25,60,assets/images/items/canvas/garage-bar-counter-top.png
Storage & Organization,wheel-barrow,Wheelbarrow,2.5,5,25,50,assets/images/items/canvas/wheel-barrow-top.png
Entertainment,pool-table,Pool Table,5,9,50,90,assets/images/items/canvas/pool-table-top.png
Entertainment,fliperama,Arcade Game,3,6,30,60,assets/images/items/canvas/fliperama-top.png
Entertainment,racing-simulator,Racing Simulator,4,5,40,50,assets/images/items/canvas/racing-simulator-top.png
Entertainment,bbq-grill,BBQ Grill,2.5,4,25,40,assets/images/items/canvas/bbq-grill-top.png
Entertainment,gas-grill,Gas Grill,2.5,5,25,50,assets/images/items/canvas/gas-grill-top.png
Mezzanine Options,mezzanine-option-1,Mezzanine Option 1,11,14,110,140,
Mezzanine Options,mezzanine-option-2,Mezzanine Option 2,15,16,150,160,
Mezzanine Options,mezzanine-option-3,Mezzanine Option 3,14,17,140,170,
Mezzanine Options,mezzanine-option-4,Mezzanine Option 4,16,18,160,180,
Mezzanine Options,mezzanine-option-5,Mezzanine Option 5,18,22,180,220,
2D Shapes,shape-square,Square,10,10,100,100,
2D Shapes,shape-circle,Circle,10,10,100,100,
2D Shapes,shape-rectangle,Rectangle,6,12,60,120,
2D Shapes,shape-triangle,Triangle,8,9,80,90,
